,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
10,6.0,2.0,2.0,2.0,5.0,5.0,2.0,-1.0,2.0,5.0,5.0,1.0,1.0,1.0,4.0,4.0,1.0,-2.0,1.0,4.0,4.666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.6666666666666665,3.6666666666666665,0.6666666666666666,-2.3333333333333335,0.6666666666666666,3.6666666666666665,4.5,0.5,0.5,0.5,3.5,3.5,0.5,-2.5,0.5,3.5,4.4,0.4,0.4,0.4,3.4,3.4,0.4,-2.6,0.4,3.4
11,5.0,1.0,1.0,1.0,4.0,4.0,1.0,-1.0,1.0,4.0,4.5,0.5,0.5,0.5,3.5,3.5,0.5,-1.5,0.5,3.5,4.333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.3333333333333335,3.3333333333333335,0.3333333333333333,-1.6666666666666667,0.3333333333333333,3.3333333333333335,4.25,0.25,0.25,0.25,3.25,3.25,0.25,-1.75,0.25,3.25,4.2,0.2,0.2,0.2,3.2,3.2,0.2,-1.8,0.2,3.2
12,4.0,1.0,1.0,1.0,3.0,3.0,1.0,-2.0,1.0,3.0,3.5,0.5,0.5,0.5,2.5,2.5,0.5,-2.5,0.5,2.5,3.333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.3333333333333335,2.3333333333333335,0.3333333333333333,-2.6666666666666665,0.3333333333333333,2.3333333333333335,3.25,0.25,0.25,0.25,2.25,2.25,0.25,-2.75,0.25,2.25,3.2,0.2,0.2,0.2,2.2,2.2,0.2,-2.8,0.2,2.2
13,7.0,2.0,2.0,2.0,4.0,4.0,2.0,0.0,2.0,4.0,6.0,1.0,1.0,1.0,3.0,3.0,1.0,-1.0,1.0,3.0,5.666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.6666666666666665,2.6666666666666665,0.6666666666666666,-1.3333333333333335,0.6666666666666666,2.6666666666666665,5.5,0.5,0.5,0.5,2.5,2.5,0.5,-1.5,0.5,2.5,5.4,0.4,0.4,0.4,2.4,2.4,0.4,-1.6,0.4,2.4
14,6.0,2.0,2.0,2.0,5.0,5.0,2.0,0.0,2.0,5.0,5.0,1.0,1.0,1.0,4.0,4.0,1.0,-1.0,1.0,4.0,4.666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.6666666666666665,3.6666666666666665,0.6666666666666666,-1.3333333333333335,0.6666666666666666,3.6666666666666665,4.5,0.5,0.5,0.5,3.5,3.5,0.5,-1.5,0.5,3.5,4.4,0.4,0.4,0.4,3.4,3.4,0.4,-1.6,0.4,3.4
15,5.0,3.0,3.0,3.0,4.0,4.0,3.0,0.0,3.0,4.0,3.5,1.5,1.5,1.5,2.5,2.5,1.5,-1.5,1.5,2.5,3.0,1.0,1.0,1.0,2.0,2.0,1.0,-2.0,1.0,2.0,2.75,0.75,0.75,0.75,1.75,1.75,0.75,-2.25,0.75,1.75,2.6,0.6000000000000001,0.6000000000000001,0.6000000000000001,1.6,1.6,0.6000000000000001,-2.4,0.6000000000000001,1.6
16,4.0,1.0,1.0,1.0,3.0,3.0,1.0,-2.0,1.0,3.0,3.5,0.5,0.5,0.5,2.5,2.5,0.5,-2.5,0.5,2.5,3.333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.3333333333333335,2.3333333333333335,0.3333333333333333,-2.6666666666666665,0.3333333333333333,2.3333333333333335,3.25,0.25,0.25,0.25,2.25,2.25,0.25,-2.75,0.25,2.25,3.2,0.2,0.2,0.2,2.2,2.2,0.2,-2.8,0.2,2.2
17,5.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,3.6666666666666665,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666665,1.6666666666666665,0.6666666666666666,-0.33333333333333337,0.6666666666666666,1.6666666666666665,3.5,0.5,0.5,0.5,1.5,1.5,0.5,-0.5,0.5,1.5,3.4,0.4,0.4,0.4,1.4,1.4,0.4,-0.6,0.4,1.4
18,6.0,1.0,1.0,1.0,4.0,4.0,1.0,-2.0,1.0,4.0,5.5,0.5,0.5,0.5,3.5,3.5,0.5,-2.5,0.5,3.5,5.333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.3333333333333335,3.3333333333333335,0.3333333333333333,-2.6666666666666665,0.3333333333333333,3.3333333333333335,5.25,0.25,0.25,0.25,3.25,3.25,0.25,-2.75,0.25,3.25,5.2,0.2,0.2,0.2,3.2,3.2,0.2,-2.8,0.2,3.2
19,7.0,3.0,3.0,3.0,5.0,5.0,3.0,2.0,3.0,5.0,5.5,1.5,1.5,1.5,3.5,3.5,1.5,0.5,1.5,3.5,5.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,3.0,4.75,0.75,0.75,0.75,2.75,2.75,0.75,-0.25,0.75,2.75,4.6,0.6000000000000001,0.6000000000000001,0.6000000000000001,2.6,2.6,0.6000000000000001,-0.3999999999999999,0.6000000000000001,2.6
